Station Name,Street Address,City,State,ZIP,Expected Date,Groups With Access Code,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Open Date
Tri-State Nissan,1230 Millwood Pike,Winchester,VA,22602,,Public - Call ahead,,3,1,200-9,39.157414,-78.146861,2017-08-02,39775,2018-02-06 21:00:03 UTC,2011-03-15
Rairdon's Nissan - Auburn,713 35th St NE,Auburn,WA,98002,,Private,,1,,200-9,47.338415,-122.221354,2017-08-02,39776,2018-02-06 21:00:03 UTC,2011-03-15
Wilson Nissan,1516 Iowa St,Bellingham,WA,98229,,Public - Call ahead,,1,2,200-9,48.756413,-122.454436,2017-08-02,39778,2018-02-06 21:00:03 UTC,2011-03-15
Advantage Nissan,5101 Auto Center Blvd,Bremerton,WA,98312,,Public - Call ahead,,1,,200-9,47.562346,-122.683943,2017-08-02,39779,2018-02-06 21:00:03 UTC,2011-03-15
Car Pros Burien Nissan,16042 1st Ave S,Burien,WA,98148,,Public - Call ahead,,1,1,200-9,47.458263,-122.333932,2017-08-02,39780,2018-02-06 21:00:03 UTC,2011-03-15
Campbell-Nelson Nissan,24325 Highway 99,Edmonds,WA,98026,,Public - Call ahead,,2,,200-8,47.77861,-122.346196,2017-08-02,39782,2018-02-06 21:00:03 UTC,2011-03-15
Magic Nissan of Everett,10500 Highway 99 S,Everett,WA,98204,,Public - Call ahead,,2,,,47.9024565,-122.2463661,2017-08-02,39783,2018-02-06 21:00:03 UTC,2011-03-15
Nissan of Fife,1700 Alexander Ave S,Fife,WA,98424,,Public - Call ahead,,1,2,200-9,47.241404,-122.372908,2017-08-02,39784,2018-02-06 21:00:03 UTC,2011-03-15
Olympia Nissan,2220 Carriage Dr SW,Olympia,WA,98502,,Public - Call ahead,,1,,200-9,47.030441,-122.930275,2017-08-02,39786,2018-02-06 21:00:03 UTC,2011-03-15
Bill Robertson Nissan,928 N 28th Ave,Pasco,WA,99301,,Public - Call ahead,,1,,200-9,46.236073,-119.12798,2017-08-02,39787,2018-02-06 21:00:03 UTC,2011-03-15
Dan Wilder Nissan,53 Jetta Way,Port Angeles,WA,98362,,Public - Call ahead,,1,2,200-9,48.102742,-123.343318,2017-08-02,39788,2018-02-06 21:00:03 UTC,2011-03-15
Puyallup Nissan,101 Valley Ave NW,Puyallup,WA,98371,,Public - Call ahead,,1,1,200-9,47.206748,-122.295283,2017-08-02,39789,2018-02-06 21:00:03 UTC,2011-03-15
CARCHARGING,16015 Cleveland St, Level P1 ",Redmond,WA,E,,,1,1,http://www.chargepoint.com/,GPS,47.6743736,-122.1271667,2018-01-04,39790,
Younker Nissan,3401 E Valley Rd,Renton,WA,98058,,Public,,1,1,GPS,47.448281,-122.219286,2017-08-02,39791,2018-02-06 21:00:03 UTC,2011-03-15
Rainier Square Parking Garage,409 Union St,Seattle,WA,98101,,Public,,3,,GPS,47.609412,-122.335219,2018-01-04,39793,2018-01-04 21:31:03 UTC,
Wendle Nissan,8900 N Division St,Spokane,WA,99218,,Public - Call ahead,,2,,200-9,47.738549,-117.411369,2017-08-02,39795,2018-02-06 21:00:03 UTC,2011-03-15
Jaremko Nissan,6901 E Sprague Ave,Spokane Valley,WA,99212,,Public - Call ahead,,1,2,200-9,47.656942,-117.312068,2017-08-02,39796,2018-02-06 21:00:03 UTC,2011-03-15
Bruce Titus Tacoma Nissan,4030 S Tacoma Way,Tacoma,WA,98409,,Public - Call ahead,,1,,200-9,47.220147,-122.484575,2017-08-02,39797,2018-02-06 21:00:03 UTC,2011-03-15
Alan Webb Nissan,3608 NE Auto Mall Dr,Vancouver,WA,98662,,Public - Call ahead,,1,,200-9,45.648309,-122.597547,2017-08-02,39798,2018-02-06 21:00:03 UTC,2011-03-15
O'Brien Nissan,1395 Dalles Military Rd,Walla Walla,WA,99362,,Public - Call ahead,,1,,200-9,46.047946,-118.353583,2017-08-02,39799,2018-02-06 21:00:03 UTC,2011-03-15
Martinsburg Veterans Affairs Medical Center,510 Butler Ave,Martinsburg,WV,25405,,Private,4,,,200-8,39.415029,-77.914014,2018-02-06,39801,2018-02-06 21:00:03 UTC,2011-03-01
Mountain View Nissan,2100 S Market St,Chattanooga,TN,37408,,Public - Call ahead,,1,1,200-9,35.030577,-85.308915,2017-08-02,39802,2018-02-06 21:00:03 UTC,2011-03-15
Harold Mathews Nissan,185 Highway 76,Clarksville,TN,37043,,Public - Call ahead,,1,1,200-9,36.514495,-87.268009,2017-08-02,39803,2018-02-06 21:00:03 UTC,2011-03-15
Cookeville Nissan,501 Neal St,Cookeville,TN,38501,,Public - Call ahead,,1,,200-9,36.137812,-85.496144,2017-08-02,39805,2018-02-06 21:00:03 UTC,2011-03-15
Victory Nissan West,2219 Highway 46 S,Dickson,TN,37055,,Public - Call ahead,,1,,200-9,36.023824,-87.340789,2017-08-02,39806,2018-02-06 21:00:03 UTC,2011-03-15
Rick Hill Nissan,2700 Parr Ave,Dyersburg,TN,38024,,Public - Call ahead,,1,,200-9,36.063389,-89.380266,2017-08-02,39807,2018-02-06 21:00:03 UTC,2011-03-15
Alexander Nissan - Cool Springs,212 Comtide Ct,Franklin,TN,37067,,Public - Call ahead,,1,1,200-8,35.957857,-86.80853,2017-08-02,39808,2018-02-06 21:00:03 UTC,2011-03-15
Newton Nissan of Gallatin,1461 Nashville Pike,Gallatin,TN,37066,,Public - Call ahead,,1,1,200-9,36.362154,-86.495367,2017-08-02,39809,2018-02-06 21:00:03 UTC,2011-03-15
Tri-Cities Nissan,3602 Bristol Hwy,Johnson City,TN,37601,,Public - Call ahead,,1,,200-9,36.374153,-82.372757,2017-08-02,39811,2018-02-06 21:00:03 UTC,2011-03-15
Wallace Nissan Oldsmobile,2733 E Stone Dr,Kingsport,TN,37660,,Public - Call ahead,,1,,200-9,36.55182,-82.489141,2017-08-02,39812,2018-02-06 21:00:03 UTC,2011-03-15
Ted Russell Nissan,8565 Kingston Pike,Knoxville,TN,37919,,Public - Call ahead,,1,,200-9,35.920138,-84.067861,2017-08-02,39813,2018-02-06 21:00:03 UTC,2011-03-15
Victory Nissan - Knoxville,4515 Clinton Hwy,Knoxville,TN,37912,,Public - Call ahead,,1,,200-9,36.000263,-83.969459,2017-08-02,39814,2018-02-06 21:00:03 UTC,2011-03-15
Nissan of Rivergate,1550 Gallatin Pike N,Madison,TN,37115,,Public - Call ahead,,1,1,GPS,36.29062,-86.7051,2017-08-02,39815,2018-02-06 21:00:03 UTC,2011-03-15
Roberts Nissan,2747 Hillsboro Blvd,Manchester,TN,37355,,Public - Call ahead,,1,,,35.4550288,-86.0450369,2017-08-02,39816,2018-02-06 21:00:03 UTC,2011-03-15
Weakley County Motors,841 N Lindell St,Martin,TN,38237,,Public - Call ahead,,1,,200-9,36.369411,-88.850717,2017-08-02,39817,2018-02-06 21:00:03 UTC,2011-03-15
AutoNation Nissan of Memphis,4140 Hacks Cross Rd,Memphis,TN,38125,,Public - Call ahead,,1,,200-9,35.0353,-89.795859,2017-08-02,39818,2018-02-06 21:00:03 UTC,2011-03-15
Jim Keras Nissan,2080 Covington Pike,Memphis,TN,38128,,Public - Call ahead,,1,1,200-9,35.18105,-89.896409,2017-08-02,39819,2018-02-06 21:00:03 UTC,2011-03-15
East Tennessee Nissan,5496 W Andrew Johnson Hwy,Morristown,TN,37814,,Public - Call ahead,,1,,200-9,36.181795,-83.381706,2017-08-02,39820,2018-02-06 21:00:03 UTC,2011-03-15
Nissan of Murfreesboro,814 Memorial Blvd,Murfreesboro,TN,37129,,Public - Call ahead,,1,1,200-9,35.853991,-86.395956,2017-08-02,39821,2018-02-06 21:00:03 UTC,2011-03-15
Action Nissan,307 Thompson Ln,Nashville,TN,37211,,Public - Call ahead,,1,1,200-9,36.11084,-86.743861,2017-08-02,39822,2018-02-06 21:00:03 UTC,2011-03-15
Downtown Nashville Nissan,25 Vantage Way,Nashville,TN,37228,,Public - Call ahead,,1,1,200-8,36.191596,-86.794023,2017-08-02,39823,2018-02-06 21:00:03 UTC,2011-03-15
Carr Nissan,3855 SW Cedar Hills Blvd,Beaverton,OR,97005,,Public - Call ahead,,1,,200-9,45.491636,-122.810744,2017-08-02,39827,2018-02-06 21:00:03 UTC,2011-03-15
Smolich Nissan,1835 NE Highway 20,Bend,OR,97701,,Public - Call ahead,,1,2,200-8,44.055832,-121.277457,2017-08-02,39828,2018-02-06 21:00:03 UTC,2011-03-15
Kiefer Nissan,900 NW 4th St,Corvallis,OR,97330,,Public - Call ahead,,1,,GPS,44.572608,-123.258425,2017-08-02,39830,2018-02-06 21:00:03 UTC,2011-11-10
Lithia Nissan of Eugene,2060 Martin Luther King,Eugene,OR,97401,,Public - Call ahead,,1,,,44.0592136,-123.0811507,2017-08-02,39831,2018-02-06 21:00:03 UTC,2011-03-15
Dick Hannah Nissan,19505 SE McLoughlin Blvd,Gladstone,OR,97027,,Public - Call ahead,,1,,200-9,45.378788,-122.603377,2018-02-06,39832,2018-02-06 21:00:03 UTC,2011-03-15
Royal Moore Nissan Subaru,1326 SE Enterprise Cir,Hillsboro,OR,97123,,Public - Call ahead,,1,,GPS,45.508744,-122.968747,2017-08-02,39835,2018-02-06 21:00:03 UTC,2011-03-15
Chuck Colvin Nissan,1925 N Highway 99W,McMinnville,OR,97128,,Public - Call ahead,,1,,200-9,45.226905,-123.180795,2017-08-02,39836,2018-02-06 21:00:03 UTC,2011-03-15
Lithia Nissan,4560 Grumman Dr,Medford,OR,97504,,Public - Call ahead,,1,,200-9,42.380893,-122.858605,2017-08-02,39837,2018-02-06 21:00:03 UTC,2011-03-15
Rustom Nissan of Portland,1212 NE 122nd Ave,Portland,OR,97230,,Public - Call ahead,,1,,200-9,45.531928,-122.537666,2017-08-02,39838,2018-02-06 21:00:03 UTC,2011-03-15
Power Nissan of Salem,2755 Mission St SE,Salem,OR,97302,,Public - Call ahead,,1,,200-9,44.921234,-123.00693,2017-08-02,39839,2018-02-06 21:00:03 UTC,2011-03-15
Fort Dalles Nissan,2400 W 6th St,The Dalles,OR,97058,,Public - Call ahead,,1,2,200-9,45.614686,-121.209344,2017-08-02,39840,2018-02-06 21:00:03 UTC,2011-03-15
Tonkin Nissan,26700 SW 95th Ave,Wilsonville,OR,97070,,Public - Call ahead,,2,,200-9,45.32775,-122.772481,2018-02-06,39841,2018-02-06 21:00:03 UTC,2011-03-15
Dick Smith Nissan,3670 Fernandina Rd,Columbia,SC,29210,,Public - Call ahead,,1,1,200-9,34.054928,-81.128476,2017-08-02,39842,2018-02-06 21:00:03 UTC,2011-03-15
Dick Smith Nissan,5536 Sunset Blvd,Lexington,SC,29072,,Public - Call ahead,,1,1,200-9,33.996836,-81.222034,2017-08-02,39844,2018-02-06 21:00:03 UTC,2011-03-15
Twin City Nissan,3247 Airport Hwy,Alcoa,TN,37701,,Public - Call ahead,,1,,200-9,35.829705,-83.974339,2017-08-02,39845,2018-02-06 21:00:03 UTC,2011-03-15
Wolfchase Nissan,2956 N Germantown Rd,Bartlett,TN,38133,,Public - Call ahead,,1,1,200-9,35.205538,-89.791936,2017-08-02,39846,2018-02-06 21:00:03 UTC,2011-03-15
Bill Gatton Nissan,235 Century Blvd,Bristol,TN,37620,,Public - Call ahead,,1,,GPS,36.54282,-82.2354,2017-08-02,39847,2018-02-06 21:00:03 UTC,2011-03-15
Nissan of Chattanooga East,2121 Chapman Rd,Chattanooga,TN,37421,,Public - Call ahead,,1,,200-9,35.056023,-85.188729,2017-08-02,39848,2018-02-06 21:00:03 UTC,2017-03-01
Benton Nissan of Hoover,1640 Montgomery Hwy,Birmingham,AL,35216,,Public - Call ahead,,4,1,200-9,33.394727,-86.806383,2017-08-02,39849,2018-02-06 21:00:03 UTC,2011-03-15
Chris Myers Nissan,29788 Fredrick Blvd,Daphne,AL,36526,,Public - Call ahead,,1,,200-9,30.660121,-87.858104,2017-08-02,39850,2018-02-06 21:00:03 UTC,2011-03-15
Lynn Layton Cad-Nissan,2402 Highway 31 S,Decatur,AL,35601,,Public - Call ahead,,1,1,200-9,34.563858,-86.973285,2017-08-02,39851,2018-02-06 21:00:03 UTC,2011-03-15
Jack Ingram Motors,227 Eastern Bypass,Montgomery,AL,36117,,Public - Call ahead,,1,1,,32.3770775,-86.2093615,2017-08-02,39852,2018-02-06 21:00:03 UTC,2011-03-15
Avondale Nissan,10305 W Papago Fwy,Avondale,AZ,85323,,Public - Call ahead,,1,,200-9,33.460681,-112.284377,2017-08-02,39853,2018-02-06 21:00:03 UTC,2011-03-15
AutoNation Nissan Chandler,1350 S Gilbert Rd,Chandler,AZ,85286,,Public - Call ahead,,1,2,200-9,33.289054,-111.789682,2017-08-02,39854,2018-02-06 21:00:03 UTC,2011-03-15
Anderson Nissan,3842 N Highway 95,Lake Havasu City,AZ,86404,,Public - Call ahead,,1,,200-9,34.541874,-114.35357,2017-08-02,39855,2018-02-06 21:00:03 UTC,2011-03-15
East Valley Nissan,6354 E Test Dr,Mesa,AZ,85206,,Public - Call ahead,,1,,200-9,33.385008,-111.695199,2017-08-02,39856,2018-02-06 21:00:03 UTC,2011-03-15
Larry H Miller Nissan - Mesa,2025 W Riverview Auto Dr,Mesa,AZ,85201,,Public - Call ahead,,1,1,200-9,33.434953,-111.87131,2017-08-02,39857,2018-02-06 21:00:03 UTC,2011-03-15
Peoria Nissan,9151 W Bell Rd,Peoria,AZ,85382,,Public - Call ahead,,1,,200-9,33.638036,-112.253953,2017-08-02,39858,2018-02-06 21:00:03 UTC,2011-03-15
ABC Nissan,1300 E Camelback Rd,Phoenix,AZ,85014,,Public - Call ahead,,1,1,200-9,33.509226,-112.054335,2017-08-02,39859,2018-02-06 21:00:03 UTC,2011-03-15
Coulter Nissan,13301 N Autoshow Ave,Surprise,AZ,85388,,Public - Call ahead,,1,,200-9,33.604747,-112.421328,2017-08-02,39860,2018-02-06 21:00:03 UTC,2011-03-15
Midway Nissan,2201 W Bell Rd,Phoenix,AZ,85023,,Public - Call ahead,,1,1,200-9,33.63994,-112.107718,2017-08-02,39861,2018-02-06 21:00:03 UTC,2011-03-15
Pinnacle Nissan,7601 E Frank Lloyd Wright Blvd,Scottsdale,AZ,85260,,Public - Call ahead,,1,1,200-9,33.635905,-111.915107,2017-08-02,39862,2018-02-06 21:00:03 UTC,2011-03-15
AutoNation Nissan Tempe,7755 S Autoplex Loop,Tempe,AZ,85284,,Public - Call ahead,,1,1,200-9,33.347243,-111.967878,2017-08-02,39863,2018-02-06 21:00:03 UTC,2011-03-15
Jim Click Nissan,800 W Auto Mall Dr,Tucson,AZ,85705,,Public - Call ahead,,1,1,200-9,32.289542,-110.984887,2017-08-02,39864,2018-02-06 21:00:03 UTC,2011-03-15
Thoroughbred Nissan,5163 E 22nd St,Tucson,AZ,85711,,Public - Call ahead,,1,,200-9,32.206993,-110.881912,2017-08-02,39865,2018-02-06 21:00:03 UTC,2011-03-15
Alhambra Nissan,726 E Main St,Alhambra,CA,91801,,Public - Call ahead,,1,,200-8,34.098591,-118.119671,2017-08-02,39869,2018-02-06 21:00:03 UTC,2011-03-15
Antioch Nissan,1831 Auto Center Dr,Antioch,CA,94509,,Public - Call ahead,,1,,200-9,38.00831,-121.832482,2017-08-02,39870,2018-02-06 21:00:03 UTC,2011-03-15
Nissan of Bakersfield,2800 Pacheco Rd,Bakersfield,CA,93313,,Public - Call ahead,,1,1,200-9,35.310403,-119.035053,2017-08-02,39871,2018-02-06 21:00:03 UTC,2011-03-15
Buena Park Nissan,6501 Auto Center Dr,Buena Park,CA,90621,,Public - Call ahead,,1,,200-9,33.865885,-117.995215,2017-08-02,39872,2018-02-06 21:00:03 UTC,2011-03-15
Carson Nissan,1505 E 223rd St,Carson,CA,90745,,Public - Call ahead,,1,,200-9,33.82431,-118.245712,2017-08-02,39873,2018-02-06 21:00:03 UTC,2011-03-15
Palm Springs Nissan,68177 Kyle Rd,Cathedral City,CA,92234,,Public - Call ahead,,1,,GPS,33.78414,-116.471,2017-08-02,39874,2018-02-06 21:00:03 UTC,2011-03-15
Cerritos Nissan,18707 Studebaker Rd,Cerritos,CA,90703,,Public - Call ahead,,1,,200-9,33.86142,-118.099721,2017-08-02,39875,2018-02-06 21:00:03 UTC,2011-03-15
Chico Nissan,575 Manzanita Ave,Chico,CA,95926,,Public - Call ahead,,1,,200-9,39.756569,-121.843383,2017-08-02,39876,2018-02-06 21:00:03 UTC,2011-03-15
Puente Hills Nissan,17320 E Gale Ave,City of Industry,CA,91748,,Public - Call ahead,,1,,200-9,33.998549,-117.928114,2017-08-02,39877,2018-02-06 21:00:03 UTC,2011-03-15
Lithia Nissan of Clovis,370 W Herndon Ave,Clovis,CA,93612,,Public - Call ahead,,1,,200-8,36.837511,-119.716988,2017-08-02,39878,2018-02-06 21:00:03 UTC,2011-03-15
Nissan of Serramonte,1500 Collins Ave,Colma,CA,94014,,Public - Call ahead,,1,,200-8,37.671267,-122.463541,2017-08-02,39879,2018-02-06 21:00:03 UTC,2011-03-15
Autocom Nissan of Concord,1290 Concord Ave,Concord,CA,94520,,Public - Call ahead,,1,,200-8,37.980192,-122.050128,2017-08-02,39880,2018-02-06 21:00:03 UTC,2011-03-15
Corona Nissan,2575 Wardlow Rd,Corona,CA,92882,,Public - Call ahead,,1,1,200-9,33.882477,-117.615171,2017-08-02,39881,2018-02-06 21:00:03 UTC,2011-03-15
Orange Coast Nissan,2850 Harbor Blvd,Costa Mesa,CA,92626,,Public - Call ahead,,1,1,200-9,33.675214,-117.919162,2017-08-02,39882,2018-02-06 21:00:03 UTC,2011-03-15
Hanlees Nissan,5009 Chiles Rd,Davis,CA,95618,,Public - Call ahead,,1,,200-9,38.552081,-121.691586,2017-08-02,39883,2018-02-06 21:00:03 UTC,2011-03-15
Downey Nissan,7550 Firestone Blvd,Downey,CA,90241,,Public - Call ahead,,1,1,200-9,33.946686,-118.145337,2017-08-02,39884,2018-02-06 21:00:03 UTC,2011-03-15
Nissan of Duarte,1434 Buena Vista St,Duarte,CA,91010,,Public - Call ahead,,1,,200-8,34.134833,-117.97749,2017-08-02,39885,2018-02-06 21:00:03 UTC,2011-03-15
Mossy Nissan - El Cajon,1170 W Main St,El Cajon,CA,92020,,Public - Call ahead,,1,,200-9,32.795028,-116.975965,2017-08-02,39886,2018-02-06 21:00:03 UTC,2011-03-15
Ross Nissan of El Monte,3428 N Peck Rd,El Monte,CA,91731,,Public - Call ahead,,1,,200-9,34.069569,-118.027302,2017-08-02,39887,2018-02-06 21:00:03 UTC,2011-03-15
Nissan of Elk Grove,8590 Laguna Grove Dr,Elk Grove,CA,95757,,Public - Call ahead,,1,1,200-9,38.402746,-121.386008,2017-08-02,39888,2018-02-06 21:00:03 UTC,2011-03-15
Mossy Nissan - Escondido,1546 Auto Park Way,Escondido,CA,92029,,Public - Call ahead,,1,,200-9,33.116809,-117.106615,2017-08-02,39889,2018-02-06 21:00:03 UTC,2011-03-15
McCrea Nissan,601 7th St,Eureka,CA,95501,,Public - Call ahead,,1,,200-9,40.800435,-124.16445,2017-08-02,39890,2018-02-06 21:00:03 UTC,2011-03-15
Future Nissan of Folsom,12610 Auto Mall Cir,Folsom,CA,95630,,Public - Call ahead,,1,,200-9,38.634795,-121.204177,2017-08-02,39891,2018-02-06 21:00:03 UTC,2011-03-15
Fontana Nissan,16444 S Highland Ave,Fontana,CA,92336,,Public - Call ahead,,1,,200-9,34.134651,-117.445407,2017-08-02,39892,2018-02-06 21:00:03 UTC,2011-03-15
Premier Nissan of Fremont,5701 Cushing Pkwy,Fremont,CA,94538,,Public - Call ahead,,1,1,GPS,37.489389,-121.9576,2017-08-02,39893,2018-02-06 21:00:03 UTC,2011-03-15
Lithia Nissan of Fresno,5580 N Blackstone Ave,Fresno,CA,93710,,Public - Call ahead,,1,,200-9,36.818828,-119.790301,2017-08-02,39894,2018-02-06 21:00:03 UTC,2011-03-15
Imperio Nissan of Garden Grove,9222 Trask Ave,Garden Grove,CA,92844,,Public - Call ahead,,1,1,200-9,33.766667,-117.968551,2017-08-02,39895,2018-02-06 21:00:03 UTC,2011-03-15
Gardena Nissan,1670 W Redondo Beach Blvd,Gardena,CA,90247,,Public - Call ahead,,1,,200-8,33.889201,-118.307028,2017-08-02,39896,2018-02-06 21:00:03 UTC,2011-03-15
South County Nissan,400 Automall Dr,Gilroy,CA,95020,,Public - Call ahead,,2,,,36.9967619,-121.558621,2017-08-02,39897,2018-02-06 21:00:03 UTC,2011-03-15
Glendale Nissan,727 S Brand Blvd,Glendale,CA,91204,,Public - Call ahead,,1,,200-9,34.136858,-118.255016,2017-08-02,39898,2018-02-06 21:00:03 UTC,2011-03-15
Santa Barbara Nissan,425 S Kellogg Ave,Goleta,CA,93117,,Public - Call ahead,,1,,200-9,34.43446,-119.820534,2017-08-02,39899,2018-02-06 21:00:03 UTC,2011-03-15
Hayward Nissan,24644 Mission Blvd,Hayward,CA,94544,,Public - Call ahead,,1,1,200-9,37.662309,-122.075471,2017-08-02,39901,2018-02-06 21:00:03 UTC,2011-03-15
Pedder Nissan,200 Carriage Cir,Hemet,CA,92545,,Public - Call ahead,,1,,200-9,33.741699,-117.031396,2017-08-02,39902,2018-02-06 21:00:03 UTC,2011-03-15
Surf City Nissan,17331 Beach Blvd,Huntington Beach,CA,92647,,Public - Call ahead,,1,1,200-9,33.710657,-117.989166,2017-08-02,39903,2018-02-06 21:00:03 UTC,2011-03-15
Imperio Nissan of Irvine,32 Auto Center Dr,Irvine,CA,92618,,Public - Call ahead,,1,1,200-9,33.632318,-117.723945,2017-08-02,39904,2018-02-06 21:00:03 UTC,2011-03-15
Torre Nissan,79125 Highway 111,La Quinta,CA,92253,,Public - Call ahead,,1,1,200-8,33.707786,-116.283603,2017-08-02,39905,2018-02-06 21:00:03 UTC,2011-03-15
Nissan of Downtown Los Angeles,635 W Washington Blvd,Los Angeles,CA,90015,,Public - Call ahead,,1,,200-9,34.03501,-118.273416,2017-08-02,39906,2018-02-06 21:00:03 UTC,2011-03-15
Universal City Nissan,3550 Cahuenga Blvd W,Los Angeles,CA,90068,,Public - Call ahead,,1,1,200-9,34.132948,-118.35615,2017-08-02,39907,2018-02-06 21:00:03 UTC,2011-03-15
Razzari Nissan,1675 Auto Center Dr,Merced,CA,95340,,Public - Call ahead,,1,,200-9,37.30533,-120.502285,2017-08-02,39908,2018-02-06 21:00:03 UTC,2011-03-15
Nissan of Mission Hills,11000 Sepulveda Blvd,Mission Hills,CA,91345,,Public - Call ahead,,1,,200-9,34.26973,-118.46711,2017-08-02,39910,2018-02-06 21:00:03 UTC,2011-03-15
Central Valley Nissan,4530 McHenry Ave,Modesto,CA,95356,,Public - Call ahead,,1,,200-8,37.705119,-120.99471,2017-08-02,39911,2018-02-06 21:00:03 UTC,2011-03-15
Metro Nissan of Montclair,9440 Autoplex Dr,Montclair,CA,91763,,Public - Call ahead,,1,1,200-9,34.082112,-117.693885,2017-08-02,39912,2018-02-06 21:00:03 UTC,2011-03-15
Metro Nissan of Redlands,1665 Industrial Park Ave,Redlands,CA,92374,,Public - Call ahead,,1,1,200-9,34.066142,-117.211781,2017-08-02,39913,2018-02-06 21:00:03 UTC,2011-03-15
Napa Nissan,510 Soscol Ave,Napa,CA,94559,,Public - Call ahead,,1,,200-9,38.292802,-122.278213,2017-08-02,39914,2018-02-06 21:00:03 UTC,2011-03-15
Mossy Nissan,2700 National City Blvd,National City,CA,91950,,Public - Call ahead,,1,,200-9,32.659751,-117.100727,2017-08-02,39915,2018-02-06 21:00:03 UTC,2011-03-15
Mossy Nissan - Oceanside,3535 College Blvd,Oceanside,CA,92056,,Public - Call ahead,,1,,200-9,33.180995,-117.296332,2017-08-02,39916,2018-02-06 21:00:03 UTC,2011-03-15
Stadium Nissan,1140 W Katella Ave,Orange,CA,92867,,Public - Call ahead,,1,,200-9,33.809014,-117.864645,2017-08-02,39917,2018-02-06 21:00:03 UTC,2011-03-15
Team Nissan,1801 Auto Center Dr,Oxnard,CA,93036,,Public - Call ahead,,1,,200-9,34.226966,-119.149732,2017-08-02,39918,2018-02-06 21:00:03 UTC,2011-03-15
Antelope Valley Nissan,451 Auto Center Dr, located adjacent to the front door",Palmdale,CA,E,,,,2,,200-9,34.590904,-118.137963,2017-08-02,39919,
North Bay Nissan,1250 Auto Center Dr,Petaluma,CA,94952,,Public - Call ahead,,1,,200-9,38.266902,-122.665338,2017-08-02,39920,2018-02-06 21:00:03 UTC,2011-03-15
Mossy Nissan - Poway,14100 Poway Rd,Poway,CA,92064,,Public - Call ahead,,1,,200-9,32.956331,-117.026093,2017-08-02,39921,2018-02-06 21:00:03 UTC,2011-03-15
Crown Nissan,300 E Cypress Ave,Redding,CA,96002,,Public - Call ahead,,1,,200-9,40.571087,-122.36621,2017-08-02,39922,2018-02-06 21:00:03 UTC,2011-03-15
Boardwalk Nissan,1 Bair Island Rd,Redwood City,CA,94063,,Public - Call ahead,,1,,200-9,37.495392,-122.22706,2017-08-02,39923,2018-02-06 21:00:03 UTC,2011-03-15
Hanlees Hilltop Nissan,3277 Auto Plaza,Richmond,CA,94806,,Public - Call ahead,,1,,200-9,37.98506,-122.321031,2017-08-02,39925,2018-02-06 21:00:03 UTC,2011-03-15
Raceway Nissan,6030 Sycamore Canyon Blvd,Riverside,CA,92507,,Public - Call ahead,,1,,200-9,33.941675,-117.298674,2017-08-02,39926,2018-02-06 21:00:03 UTC,2011-03-15
Riverside Nissan,8330 Indiana Ave,Riverside,CA,92504,,Public - Call ahead,,1,,200-8,33.926178,-117.420236,2017-08-02,39927,2018-02-06 21:00:03 UTC,2011-03-15
Future Nissan,600 Automall Dr,Roseville,CA,95661,,Public - Call ahead,,1,,200-9,38.751724,-121.256795,2017-08-02,39928,2018-02-06 21:00:03 UTC,2011-03-15
Nissan of Sacramento,2820 Auburn Blvd,Sacramento,CA,95821,,Public - Call ahead,,1,1,200-9,38.631757,-121.397092,2017-08-02,39929,2018-02-06 21:00:03 UTC,2016-06-01
My Nissan,222 Auto Center Cir,Salinas,CA,93907,,Public - Call ahead,,1,2,200-8,36.719916,-121.662138,2017-08-02,39930,2018-02-06 21:00:03 UTC,2011-03-15
Nissan of San Bernardino,735 Showcase Dr S,San Bernardino,CA,92408,,Public - Call ahead,,1,1,GPS,34.074378,-117.298,2017-08-02,39931,2018-02-06 21:00:03 UTC,2011-03-15
Mossy Nissan - Kearny Mesa,8118 Clairemont Mesa Blvd,San Diego,CA,92111,,Public - Call ahead,,1,,200-9,32.83286,-117.147155,2017-08-02,39932,2018-02-06 21:00:03 UTC,2011-03-15
Pacific Nissan,4433 Mission Bay Dr,San Diego,CA,92109,,Public - Call ahead,,1,1,200-9,32.802076,-117.215386,2017-08-02,39933,2018-02-06 21:00:03 UTC,2011-04-01
Nissan Sunnyvale,680 E El Camino Real,Sunnyvale,CA,94087,,Public - Call ahead,,1,,200-9,37.359542,-122.022417,2017-12-05,39934,2018-02-06 21:00:03 UTC,2011-03-15
Premier Nissan,1120 W Capitol Expy,San Jose,CA,95136,,Public - Call ahead,,1,,GPS,37.275144,-121.877656,2017-08-02,39935,2018-02-06 21:00:03 UTC,2011-03-15
Nissan of San Juan Capistrano,33633 Camino Capistrano,San Juan Capistrano,CA,92675,,Public - Call ahead,,1,1,200-9,33.474992,-117.675048,2017-08-02,39936,2018-02-06 21:00:03 UTC,2011-03-15
Autocom Nissan East Bay,1152 Marina Blvd,San Leandro,CA,94577,,Public - Call ahead,,1,2,200-8,37.71238,-122.162204,2017-08-02,39937,2018-02-06 21:00:03 UTC,2011-03-15
Coast Nissan,12150 Los Osos Valley Rd,San Luis Obispo,CA,93405,,Public - Call ahead,,1,2,200-9,35.250429,-120.68561,2017-08-02,39938,2018-02-06 21:00:03 UTC,2011-03-15
